backend,dtype,category,shape,threads,runs,total_mean_ms,total_median_ms,total_std_ms,total_min_ms,total_max_ms,cv_percent,gflops_mean,gflops_median,checksum_min,checksum_max,autotuned,active_threads_mode,schedule,schedule_unique_count,schedule_mode_count
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,8,5,11.838774,11.835765,0.025283,11.805866,11.875893,0.213558,181.394759,181.440207,-2796.425557,-2796.425557,True,8,"mostly stable: bm=128,bn=32,kfactor=16 (3/5), 2 schedule(s)",2,3
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,16,5,9.684355,9.646320,0.136081,9.586835,9.916225,1.405167,221.782242,222.622062,-2796.425557,-2796.425557,True,16,"mostly stable: bm=128,bn=8,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,1,5,2093.868803,2094.387532,4.284621,2088.847650,2099.893317,0.204627,65.638981,65.622504,427860.020024,427860.020024,True,1,"stable: bm=256,bn=64,kfactor=16 (5/5), 1 schedule(s)",1,5
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,2,5,1590.992292,1590.032280,14.541748,1571.041539,1607.487247,0.914005,86.391466,86.437839,427860.020024,427860.020024,True,2,"mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,4,5,734.474330,735.157922,1.095056,732.993321,735.415926,0.149094,187.125938,186.951605,427860.020024,427860.020024,True,4,"mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,8,5,702.384243,703.746787,2.226494,698.864487,703.930086,0.316991,195.676458,195.296030,427860.020024,427860.020024,True,8,"unstable: bm=128,bn=16,kfactor=16 (2/5), 3 schedule(s)",3,2
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,16,5,534.683000,534.600293,0.701296,533.660586,535.497432,0.131161,257.047901,257.087314,427860.020024,427860.020024,True,16,"stable: bm=128,bn=16,kfactor=16 (5/5), 1 schedule(s)",1,5
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,1,5,262.509331,261.730782,2.048780,260.958100,265.980669,0.780460,65.447958,65.639468,36416.289467,36416.289467,True,1,"mostly stable: bm=512,bn=32,kfactor=16 (4/5), 2 schedule(s)",2,4
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,2,5,199.772586,199.841624,0.613821,198.792435,200.469217,0.307260,85.997782,85.967422,36416.289467,36416.289467,True,2,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,4,5,92.260346,92.259657,0.477617,91.820510,92.980295,0.517684,186.214742,186.212151,36416.289467,36416.289467,True,4,"unstable: bm=512,bn=64,kfactor=16 (2/5), 3 schedule(s)",3,2
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,8,5,87.519638,87.337454,0.411033,87.142308,88.080222,0.469646,196.300764,196.706778,36416.289467,36416.289467,True,8,"stable: bm=256,bn=16,kfactor=16 (5/5), 1 schedule(s)",1,5
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,16,5,67.543997,67.262203,0.422451,67.197245,68.047437,0.625446,254.358735,255.416392,36416.289467,36416.289467,True,16,"unstable: bm=256,bn=16,kfactor=16 (2/5), 3 schedule(s)",3,2
T-MAC W4A16,W4A16,Medium Rectangular,1024x1024x512,1,5,16.356559,16.375781,0.071412,16.262616,16.422839,0.436593,65.646952,65.568893,1349.574833,1349.574833,True,1,"unstable: bm=256,bn=32,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W4A16,W4A16,Medium Rectangular,1024x1024x512,2,5,12.412000,12.423204,0.038664,12.363135,12.460274,0.311507,86.509037,86.430346,1349.574833,1349.574833,True,2,"mostly stable: bm=256,bn=64,kfactor=16 (4/5), 2 schedule(s)",2,4
T-MAC W4A16,W4A16,Medium Rectangular,1024x1024x512,4,5,5.991224,5.991228,0.021870,5.957732,6.012232,0.365026,179.221017,179.218989,1349.574833,1349.574833,True,4,"mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W4A16,W4A16,Medium Rectangular,1024x1024x512,8,5,5.944928,5.941969,0.015042,5.926772,5.968227,0.253029,180.615704,180.704717,1349.574833,1349.574833,True,8,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W4A16,W4A16,Medium Rectangular,1024x1024x512,16,5,4.802472,4.764327,0.101168,4.742933,4.982711,2.106573,223.658352,225.371144,1349.574833,1349.574833,True,16,"unstable: bm=256,bn=64,kfactor=16 (2/5), 3 schedule(s)",3,2
